logins;contributions;avatar;type;url
beatrizmilz;106;https://avatars.githubusercontent.com/u/42153618?v=4;code;https://github.com/beatrizmilz
storopoli;6;https://avatars.githubusercontent.com/u/43353831?v=4;code;https://github.com/storopoli
Erick-Araujo;4;https://avatars.githubusercontent.com/u/75174527?v=4;code;https://github.com/Erick-Araujo
gabrielvazdemelo;3;https://avatars.githubusercontent.com/u/26803825?v=4;code;https://github.com/gabrielvazdemelo
liznascimento;3;https://avatars.githubusercontent.com/u/62074558?v=4;code;https://github.com/liznascimento
diegogaldinof;2;https://avatars.githubusercontent.com/u/47000268?v=4;code;https://github.com/diegogaldinof
jtrecenti;2;https://avatars.githubusercontent.com/u/1425970?v=4;code;https://github.com/jtrecenti
adelmofilho;1;https://avatars.githubusercontent.com/u/5474583?v=4;code;https://github.com/adelmofilho
pedropark99;1;https://avatars.githubusercontent.com/u/69123925?v=4;code;https://github.com/pedropark99
vanderleidebastiani;1;https://avatars.githubusercontent.com/u/6205983?v=4;code;https://github.com/vanderleidebastiani
hsvab;1;https://avatars.githubusercontent.com/u/2137923?v=4;code;https://github.com/hsvab
FeFortti;NA;https://avatars.githubusercontent.com/u/52926907?u=d1c484dd1a9f61dae5e279ccceea44743ae2698b&v=4;issue_authors;https://github.com/FeFortti
